Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status
AP/KRS/2024/01/01,Andhra Pradesh,Nandamuri Taraka Rama Rao (NTR),Acute Diarrheal Disease,30,0,30-12-2023,03-01-24,Under Control
AS/SBS/2024/01/02,Assam,Charaideo,Leptospirosis,1,1,02-01-24,02-01-24,Under Surveillance
AS/DAR/2024/01/03,Assam,Darrang,Chickenpox,6,0,30-12-2023,02-01-24,Under Surveillance
BH/JAH/2024/01/04,Bihar,Jehanabad,Chickenpox,8,0,06-01-24,06-01-24,Under Surveillance
GJ/AHM/2024/01/05,Gujarat,Ahmedabad,Acute Diarrheal Disease,16,0,01-12-2023,01-01-24,Under Surveillance
KN/SHI/2024/01/06,Karnataka,Shivamogga,Kyasanur Forest Disease,81,1,06-01-24,06-01-24,Under Surveillance
KN/VIJ/2024/01/07,Karnataka,Vijayanagar,Cholera,97,1,06-01-24,06-01-24,Under Surveillance
KL/PLK/2024/01/08,Kerala,Palakkad,Dog Bite,9,0,03-01-24,03-01-24,Under Surveillance
KL/TRC/2024/01/09,Kerala,Thrissur,Chickenpox,28,0,28-12-2023,04-01-24,Under Surveillance
KL/TRC/2024/01/10,Kerala,Thrissur,Monkey Pox,2,0,28-12-2023,04-01-24,Under Surveillance
MP/BAD/2024/01/11,Madhya Pradesh,Barwani,Chickenpox,9,0,23-12-2023,02-01-24,Under Control
MP/CTP/2024/01/12,Madhya Pradesh,Chhatarpur,Chickenpox,6,0,03-01-24,04-01-24,Under Surveillance
MP/CDW/2024/01/13,Madhya Pradesh,Chhindwara,Chickenpox,15,0,05-12-2023,05-01-24,Under Surveillance
MP/NSP/2024/01/14,Madhya Pradesh,Narsinghpur,Fever with Rash,8,0,04-01-24,04-01-24,Under Surveillance
MH/GAD/2024/01/15,Maharashtra,Gadchiroli,Malaria,191,1,04-01-24,04-01-24,Under Control
MH/GAD/2024/01/16,Maharashtra,Gadchiroli,Malaria,385,1,27-12-2023,01-01-24,Under Control
MH/GOD/2024/01/17,Maharashtra,Gondia,Malaria,28,0,29-12-2023,01-01-24,Under Control
MH/KOP/2024/01/18,Maharashtra,Kolhapur,Hepatitis-A,9,0,05-01-24,05-01-24,Under Surveillance
MH/KOP/2024/01/19,Maharashtra,Kolhapur,Food Poisoning,106,0,03-01-24,03-01-24,Under Control
MH/NAG/2024/01/20,Maharashtra,Nagpur,Scrub Typhus,9,1,02-01-24,04-01-24,Under Control
MH/PLR/2024/01/21,Maharashtra,Palghar,Dengue & Chikungunya,9,0,07-01-24,07-01-24,Under Surveillance
OR/CUT/2024/01/22,Odisha,Cuttack,Acute Diarrheal Disease,22,0,04-01-24,04-01-24,Under Control
OR/SUN/2024/01/23,Odisha,Sundargarh,Food Poisoning,25,0,01-01-24,01-01-24,Under Surveillance
TN/TVL/2024/01/24,Tamil Nadu,Thiruvallur,Acute Diarrheal Disease,11,0,03-01-24,03-01-24,Under Control
TN/TVM/2024/01/25,Tamil Nadu,Tiruvannamalai,Cholera,2,0,03-01-24,04-01-24,Under Control
UK/HDW/2024/01/26,Uttarakhand,Haridwar,Mumps,51,0,01-01-24,03-01-24,Under Control
AS/NGO/2024/02/27,Assam,Hojai,Human Rabies,1,1,12-01-2024,13-01-2024,Under Control
AS/SNT/2024/02/28,Assam,Sonitpur,Mumps,4,0,11-01-2024,12-01-2024,Under Control
BH/PAC/2024/02/29,Bihar,Pashchim Champaran,Measles,17,0,06-01-2024,11-01-2024,Under Surveillance
BH/PAC/2024/02/30,Bihar,Pashchim Champaran,Measles,32,0,05-01-2024,10-01-2024,Under Surveillance
CT/RGR/2024/02/31,Chhattisgarh,Raigarh,Acute Diarrheal Disease,9,0,05-01-2024,08-01-2024,Under Control
GJ/SRD/2024/02/32,Gujarat,Surendranagar,Chikungunya,52,0,11-01-2024,11-01-2024,Under Surveillance
JH/ESI/2024/02/33,Jharkhand,East Singhbum,Chickenpox,10,0,12-01-2024,12-01-2024,Under Surveillance
KN/BEG/2024/02/34,Karnataka,Belagavi,Food Poisoning,92,0,11-01-2024,12-01-2024,Under Surveillance
KN/CMN/2024/02/35,Karnataka,Chamarajanagar,Acute Diarrheal Disease,19,0,05-01-2024,08-01-2024,Under Surveillance
KN/VIJ/2024/02/36,Karnataka,Vijayanagar,Acute Diarrheal Disease,34,0,09-01-2024,09-01-2024,Under Surveillance
KL/ALP/2024/02/37,Kerala,Alappuzha,Mumps,18,0,12-01-2024,12-01-2024,Under Surveillance
KL/CNR/2024/02/38,Kerala,Kannur,Food Poisoning,83,0,09-01-2024,10-01-2024,Under Surveillance
KL/KAS/2024/02/39,Kerala,Kasaragod,Acute Diarrheal Disease,43,0,08-01-2024,10-01-2024,Under Control
KL/PLK/2024/02/40,Kerala,Palakkad,Hepatitis A,9,0,11-01-2024,12-01-2024,Under Surveillance
KL/PLK/2024/02/41,Kerala,Palakkad,Food Poisoning,41,0,12-01-2024,12-01-2024,Under Surveillance
KL/THI/2024/02/42,Kerala,Thiruvananthapuram,Food Poisoning,16,0,08-01-2024,09-01-2024,Under Control
MP/DHR/2024/02/43,Madhya Pradesh,Dhar,Animal Bite - Dog Bite,13,0,11-01-2024,12-01-2024,Under Surveillance
MP/GUN/2024/02/44,Madhya Pradesh,Guna,Measles,12,0,06-01-2024,12-01-2024,Under Surveillance
MH/KOP/2024/02/45,Maharashtra,Kolhapur,Hepatitis A,42,0,12-01-2024,12-01-2024,Under Surveillance
OR/DEO/2024/02/46,Odisha,Deogarh,Food Poisoning,250,0,08-01-2024,08-01-2024,Under Control
TN/TNJ/2024/02/47,Tamil Nadu,Thanjavur,Cholera,41,0,12-01-2024,13-01-2024,Under Control
TN/VIR/2024/02/48,Tamil Nadu,Virudhunagar,Mumps,15,0,12-01-2024,12-01-2024,Under Surveillance
UP/JLA/2024/02/49,Uttar Pradesh,Jalaun,Measles,5,0,08-01-2024,10-01-2024,Under Surveillance
WB/BWN/2024/02/50,West Bengal,Purba Bardhaman,Food Poisoning,164,0,06-01-2024,09-01-2024,Under Control
WB/BWN/2024/02/51,West Bengal,Purba Bardhaman,Food Poisoning,72,0,03-01-2024,Under Control
AR/EKM/2024/03/052,Arunachal Pradesh,East Kameng,Human Rabies,1,1,13-01-2024,19-01-2024,Under Control
GJ/ARL/2024/03/053,Gujarat,Amreli,Acute Diarrheal Disease,68,0,18-01-2024,18-01-2024,Under Control
GJ/MRB/2024/03/054,Gujarat,Morbi,Hepatitis A,22,0,16-01-2024,17-01-2024,Under Surveillance
JH/SIM/2024/03/055,Jharkhand,Simdega,Chickenpox,23,0,17-01-2024,17-01-2024,Under Surveillance
KN/CHI/2024/03/056,Karnataka,Chitradurga,Acute Diarrheal Disease,5,0,14-01-2024,17-01-2024,Under Control
KN/SHI/2024/03/057,Karnataka,Shivamogga,Kyasanur Forest Disease,297,0,18-01-2024,20-01-2024,Under Surveillance
KN/SHI/2024/03/058,Karnataka,Shivamogga,Kyasanur Forest Disease,53,0,18-01-2024,20-01-2024,Under Surveillance
KN/KRW/2024/03/059,Karnataka,Uttar Kannad,Kyasanur Forest Disease,310,0,18-01-2024,19-01-2024,Under Surveillance
KL/KAS/2024/03/060,Kerala,Kasaragod,Food Poisoning,141,0,18-01-2024,18-01-2024,Under Control
KL/KTM/2024/03/0561,Kerala,Kottayam,Dengue,39,0,12-01-2024,19-01-2024,Under Surveillance
KL/KTM/2024/03/0562,Kerala,Kottayam,Hepatitis A,6,0,12-01-2024,16-01-2024,Under Surveillance
MP/BPL/2024/03/0563,Madhya Pradesh,Bhopal,Mumps,18,0,12-01-2024,17-01-2024,Under Surveillance
MP/BUH/2024/03/0564,Madhya Pradesh,Burhanpur,Mumps,33,0,18-01-2024,19-01-2024,Under Surveillance
MP/GWL/2024/03/0565,Madhya Pradesh,Gwalior,Mumps,31,0,20-01-2024,20-01-2024,Under Surveillance
MP/SHR/2024/03/0566,Madhya Pradesh,Sheopur,Fever with Rash,23,0,20-01-2024,20-01-2024,Under Surveillance
MP/SVP/2024/03/0567,Madhya Pradesh,Shivpuri,Measles,18,2,13-01-2024,15-01-2024,Under Surveillance
MH/THN/2024/03/0568,Maharashtra,Thane,Dengue,5,1,12-01-2024,16-01-2024,Under Surveillance
OR/BAG/2024/03/0569,Odisha,Balangir,Acute Diarrheal Disease,39,0,16-01-2024,16-01-2024,Under Control
OR/BAR/2024/03/070,Odisha,Boudh,Acute Diarrheal Disease,42,0,19-01-2024,20-01-2024,Under Control
OR/CUT/2024/03/071,Odisha,Cuttack,Acute Diarrheal Disease,7,0,14-01-2024,15-01-2024,Under Control
OR/GJM/2024/03/072,Odisha,Ganjam,Fever with Rash,18,0,16-01-2024,18-01-2024,Under Control
OR/KPT/2024/03/073,Odisha,Koraput,Acute Diarrheal Disease,30,0,20-01-2024,20-01-2024,Under Surveillance
OR/PRI/2024/03/074,Odisha,Puri,Acute Diarrheal Disease,16,0,16-01-2024,16-01-2024,Under Control
PN/PRI/2024/03/075,Puducherry,Pondicherry,Chikungunya,18,0,19-01-2024,19-01-2024,Under Surveillance
TN/PER/2024/03/076,Tamil Nadu,Perambalur,Mumps,9,0,19-01-2024,19-01-2024,Under Control
UP/CKH/2024/03/077,Uttar Pradesh,Chandauli,Measles,43,0,01-01-2024,19-01-2024,Under Control
KL/WYN/2024/03/078,Kerala,Wayanad,Acute Diarrheal Disease,18,0,09-01-2024,Under Surveillance
MP/GUN/2024/03/079,Madhya Pradesh,Guna,Measles,12,0,10-01-2024,Under Control
MP/GUN/2024/03/080,Madhya Pradesh,Guna,Measles,12,0,08-01-2024,Under Control
MH/BNR/2024/03/081,Maharashtra,Bhandara,Acute Diarrheal Disease,29,0,09-01-2024,Under Surveillance
MH/THN/2024/03/082,Maharashtra,Thane,Dengue,13,0,29-12-2023,Under Surveillance
AR/EKM/2024/04/083,Arunachal Pradesh,East Kameng,Measles,11,0,25-01-2024,25-01-2024,Under Surveillance
DN/DMN/2024/04/084,D&N Haveli And Daman And Diu,Daman,Food Poisoning,24,0,23-01-2024,23-01-2024,Under Control
GJ/GAN/2024/04/085,Gujarat,Gandhinagar,Acute Diarrheal Disease,117,0,23-01-2024,24-01-2024,Under Control
GJ/VSD/2024/04/086,Gujarat,Valsad,Acute Diarrheal Disease,73,0,22-01-2024,23-01-2024,Under Control
JK/BGM/2024/04/087,Jammu and Kashmir,Badgam,Jaundice,46,0,24-01-2024,25-01-2024,Under Surveillance
JH/KUT/2024/04/088,Jharkhand,Khunti,Measles,3,0,26-01-2024,27-01-2024,Under Surveillance
KN/HAV/2024/04/089,Karnataka,Haveri,Acute Diarrheal Disease,54,0,22-01-2024,24-01-2024,Under Control
KN/RCR/2024/04/090,Karnataka,Raichur,Chikungunya,9,0,25-01-2024,26-01-2024,Under Surveillance
KL/ALP/2024/04/091,Kerala,Alappuzha,Mumps,9,0,28-01-2024,28-01-2024,Under Surveillance
KL/ERN/2024/04/092,Kerala,Ernakulam,Acute Diarrheal Disease,123,0,23-01-2024,28-01-2024,Under Surveillance
KL/CNR/2024/04/093,Kerala,Kannur,Melioidosis,1,0,25-01-2024,27-01-2024,Under Surveillance
KL/CNR/2024/04/094,Kerala,Kannur,Melioidosis,1,0,22-01-2024,23-01-2024,Under Surveillance
KL/KAS/2024/04/095,Kerala,Kozhikode,Hepatitis A,27,0,24-01-2024,24-01-2024,Under Surveillance
KL/PLK/2024/04/096,Kerala,Palakkad,Chicken Pox,28,0,23-01-2024,23-01-2024,Under Surveillance
MP/RWA/2024/04/097,Madhya Pradesh,Rewa,Food Poisoning,64,0,26-01-2024,27-01-2024,Under Surveillance
MH/BUL/2024/04/098,Maharashtra,Buldhana,Mumps,5,0,25-01-2024,25-01-2024,Under Surveillance
MH/PLR/2024/04/099,Maharashtra,Palghar,Dengue,16,0,24-01-2024,24-01-2024,Under Surveillance
OR/CUT/2024/04/100,Odisha,Cuttack,Food Poisoning,34,0,25-01-2024,25-01-2024,Under Control
OR/GJM/2024/04/101,Odisha,Ganjam,Acute Diarrheal Disease,19,0,23-01-2024,23-01-2024,Under Control
OR/SUN/2024/04/102,Odisha,Sundargarh,Food Poisoning,27,0,27-01-2024,28-01-2024,Under Surveillance
PB/FER/2024/04/103,Punjab,Firozepur,Measles,4,0,25-01-2024,26-01-2024,Under Surveillance
TN/TNJ/2024/04/104,Tamil Nadu,Thanjavur,Mumps,17,0,24-01-2024,26-01-2024,Under Surveillance
TN/TVL/2024/04/105,Tamil Nadu,Thiruvallur,Chickenpox,14,0,22-01-2024,22-01-2024,Under Surveillance
AS/LKM/2024/04/106,Assam,Lakhimpur,Leptospirosis,4,0,22-12-2023,Under Surveillance
KL/TRC/2024/04/107,Kerala,Thrissur,Chickenpox,23,0,15-01-2024,Under Surveillance
MG/EKH/2024/04/0108,Meghalaya,East Khasi Hills,Measles,66,1,08-01-2024,Under Surveillance
MG/JTH/2024/04/109,Meghalaya,West Jaintia Hills,Measles,24,0,15-01-2024,Under Surveillance
MG/JTH/2024/04/110,Meghalaya,West Jaintia Hills,Human Rabies,1,1,17-01-2024,Under Control
UP/VRN/2024/04/111,Uttar Pradesh,Bhadohi,Measles,6,0,09-01-2024,Under Surveillance
BH/BGS/2024/05/112,Bihar,Begusarai,Fever with Rash,11,0,31-01-2024,02-02-2024,Under Surveillance
GJ/AHM/2024/05/113,Gujarat,Ahmedabad,Cholera,129,0,03-02-2024,03-02-2024,Under Control
GJ/AND/2024/05/114,Gujarat,Anand,Mumps,19,0,31-01-2024,31-01-2024,Under Control
GJ/VAD/2024/05/115,Gujarat,Vadodara,Acute Diarrheal Disease,86,0,02-02-2024,02-02-2024,Under Surveillance
JK/ANG/2024/05/116,Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,87,0,29-01-2024,30-01-2024,Under Surveillance
JK/SHP/2024/05/117,Jammu and Kashmir,Shopian,Hepatitis A,10,0,02-02-2024,03-02-2024,Under Surveillance
JK/SHP/2024/05/118,Jammu and Kashmir,Shopian,Hepatitis A,19,0,02-02-2024,02-02-2024,Under Surveillance
JK/SHP/2024/05/119,Jammu and Kashmir,Shopian,Hepatitis A,10,0,31-01-2024,01-02-2024,Under Surveillance
JK/SHP/2024/05/120,Jammu and Kashmir,Shopian,Hepatitis A,15,0,31-01-2024,31-01-2024,Under Surveillance
JK/SHP/2024/05/121,Jammu and Kashmir,Shopian,Hepatitis A,5,0,30-01-2024,31-01-2024,Under Surveillance
JH/ESI/2024/05/122,Jharkhand,East Singhbum,Chickenpox,13,0,02-02-2024,02-02-2024,Under Surveillance
KN/CMN/2024/05/123,Karnataka,Chamarajanagar,Diphtheria,1,1,30-01-2024,01-02-2024,Under Surveillance
KN/CKM/2024/05/124,Karnataka,Chikkamagaluru,Kyasanur Forest Disease,60,0,01-02-2024,01-02-2024,Under Surveillance
KN/CKM/2024/05/125,Karnataka,Chikkamagaluru,Kyasanur Forest Disease,13,1,30-01-2024,01-02-2024,Under Surveillance
KL/PLK/2024/05/126,Kerala,Palakkad,Dengue,18,0,02-02-2024,03-02-2024,Under Surveillance
KL/PLK/2024/05/127,Kerala,Palakkad,Chickenpox,5,0,02-02-2024,02-02-2024,Under Surveillance
KL/PLK/2024/05/128,Kerala,Palakkad,Mumps,16,0,31-01-2024,31-01-2024,Under Surveillance
KL/PLK/2024/05/129,Kerala,Palakkad,Fever with Rash,6,0,31-01-2024,31-01-2024,Under Surveillance
MP/ARR/2024/05/130,Madhya Pradesh,Alirajpur,Mumps,27,0,01-02-2024,01-02-2024,Under Surveillance
MP/DHR/2024/05/131,Madhya Pradesh,Dhar,Mumps,39,0,01-02-2024,02-02-2024,Under Surveillance
MP/GUN/2024/05/132,Madhya Pradesh,Guna,Chickenpox,8,0,31-01-2024,31-01-2024,Under Surveillance
MP/VRN/2024/05/133,Madhya Pradesh,Gwalior,Mumps,7,0,04-02-2024,04-02-2024,Under Surveillance
MP/NSP/2024/05/134,Madhya Pradesh,Narsinghpur,Chickenpox,7,0,31-01-2024,31-01-2024,Under Surveillance
MH/KOP/2024/05/135,Maharashtra,Kolhapur,Hepatitis A&E,101,0,03-02-2024,03-02-2024,Under Surveillance
MH/THN/2024/05/136,Maharashtra,Thane,Acute Diarrheal Disease,110,0,31-01-2024,31-01-2024,Under Surveillance
OR/BAG/2024/05/137,Odisha,Bargarh,Food Poisoning,347,0,31-01-2024,31-01-2024,Under Control
OR/DEO/2024/05/138,Odisha,Deogarh,Food Poisoning,42,0,30-01-2024,31-01-2024,Under Control
OR/DEO/2024/05/139,Odisha,Deogarh,Chickenpox,15,0,29-01-2024,29-01-2024,Under Control
OR/JHA/2024/05/140,Odisha,Jharsuguda,Food Poisoning,42,0,02-02-2024,02-02-2024,Under Control
OR/KPT/2024/05/141,Odisha,Koraput,Acute Diarrheal Disease,18,0,02-02-2024,02-02-2024,Under Control
OR/MBJ/2024/05/142,Odisha,Mayurbhanj,Acute Diarrheal Disease,12,0,02-02-2024,02-02-2024,Under Control
OR/SUN/2024/05/143,Odisha,Sundargarh,Acute Diarrheal Disease,7,0,28-01-2024,02-02-2024,Under Control
PB/NWS/2024/05/144,Punjab,Shahid Bhagat Singh Nagar,Mumps,13,0,01-02-2024,01-02-2024,Under Control
TN/AIR/2024/05/145,Tamil Nadu,Ariyalur,Food Poisoning,6,0,29-01-2024,30-01-2024,Under Control
TN/TRR/2024/05/146,Tamil Nadu,Tiruppur,Fever,7,0,31-01-2024,31-01-2024,Under Surveillance
WB/BRB/2024/05/150,West Bengal,Birbhum,Acute Diarrheal Disease,122,0,01-02-2024,01-02-2024,Under Control
WB/HWR/2024/05/151,West Bengal,Howrah,Acute Diarrheal Disease,67,0,30-01-2024,30-01-2024,Under Control
BH/MBN/2024/06/160,Bihar,Madhubani,Measles,16,0,10-02-2024,10-02-2024,Under Surveillance
BH/PUC/2024/06/161,Bihar,Purbi Champaran,Fever with Rash,14,0,01-02-2024,05-02-2024,Under Surveillance
CT/BJP/2024/06/162,Chhattisgarh,Bijapur,Dengue,24,0,08-02-2024,08-02-2024,Under Surveillance
CT/GID/2024/06/163,Chhattisgarh,Gariyaband,Acute Diarrheal Disease,41,0,09-02-2024,09-02-2024,Under Control
CT/SUA/2024/06/164,Chhattisgarh,Sukma,Measles,40,0,04-02-2024,08-02-2024,Under Control
GJ/VSD/2024/06/165,Gujarat,Valsad,Acute Diarrheal Disease,73,0,07-02-2024,07-02-2024,Under Control
JH/DMK/2024/06/166,Jharkhand,Dumka,Chickenpox,13,0,06-02-2024,06-02-2024,Under Surveillance
KN/DKK/2024/06/167,Karnataka,Dakshin Kannad,Shigellosis,39,0,07-02-2024,07-02-2024,Under Control
KN/KPP/2024/06/168,Karnataka,Koppal,Chikungunya,53,0,09-02-2024,09-02-2024,Under Control
KN/TUM/2024/06/169,Karnataka,Tumakuru,Acute Diarrheal Disease,60,0,08-02-2024,09-02-2024,Under Surveillance
KL/KAS/2024/06/170,Kerala,Kasaragod,Food Poisoning,78,0,04-02-2024,05-02-2024,Under Control
KL/KOZ/2024/06/171,Kerala,Kozhikode,Hepatitis A,13,0,03-02-2024,05-02-2024,Under Surveillance
KL/MLP/2024/06/172,Kerala,Malappuram,Acute Diarrheal Disease,10,0,09-02-2024,09-02-2024,Under Surveillance
KL/MLP/2024/06/173,Kerala,Malappuram,Hepatitis A,47,0,08-02-2024,08-02-2024,Under Surveillance
MP/ARR/2024/06/178,Madhya Pradesh,Alirajpur,Mumps,38,0,02-02-2024,06-02-2024,Under Surveillance
MP/BTU/2024/06/181,Madhya Pradesh,Betul,Mumps,13,0,08-02-2024,09-02-2024,Under Surveillance
MP/GUN/2024/06/182,Madhya Pradesh,Guna,Measles,9,0,06-02-2024,06-02-2024,Under Surveillance
MH/NAN/2024/06/183,Maharashtra,Nanded,Acute Diarrheal Disease,1000,0,07-02-2024,07-02-2024,Under Control
