id,trending_data,name,cases
0,1,Fever with Rash,8
1,2,Acute Diarrheal Disease,76
2,3,Acute Diarrheal Disease,30
3,57,Cholera,47
4,58,Acute Diarrheal Disease,200
5,59,Food Poisoning,81
6,60,Malaria,39
7,33,Acute Diarrheal Disease,28
8,32,Acute Diarrheal Disease,44
9,31,Cholera,61
10,15,Acute Diarrheal Disease,10
11,4,Acute Diarrheal Disease,24
12,6,Food Poisoning,53
13,21,Acute Diarrheal Disease,42
14,22,Food Poisoning,17
15,31,Acute Diarrheal Disease,14
16,7,Acute Diarrheal Disease,20
17,10,Acute Diarrheal Disease,9
18,11,Acute Diarrheal Disease,25
19,12,Acute Diarrheal Disease,17
20,28,Acute Diarrheal Disease,48
21,16,Acute Diarrheal Disease,82
22,30,Cholera,71
23,24,Food Poisoning,8
24,25,Acute Diarrheal Disease,33
25,23,Acute Diarrheal Disease,48
26,14,Food Poisoning,48
27,42,Acute Diarrheal Disease,24
28,52,Acute Diarrheal Disease,32
29,41,Acute Diarrheal Disease,51
30,45,Acute Diarrheal Disease,230
31,48,Cholera,28
32,5,Acute Diarrheal Disease,11
33,49,Cholera,17
34,36,Food Poisoning,64
35,63,Cholera,63
36,8,Acute Diarrheal Disease,22
37,37,Acute Diarrheal Disease,15
38,35,Acute Diarrheal Disease,23
39,17,Acute Diarrheal Disease,22
40,34,Acute Diarrheal Disease,25
41,43,Acute Diarrheal Disease,36
42,44,Food Poisoning,61
43,38,Acute Diarrheal Disease,14
44,39,Acute Diarrheal Disease,20
45,46,Acute Diarrheal Disease,18
46,47,Cholera,77
47,13,Cholera,31
48,50,Fever,58
49,51,Food Poisoning,13
50,53,Food Poisoning,106
51,9,Acute Diarrheal Disease,15
52,18,Food Poisoning,31
53,56,Food Poisoning,23
54,71,Acute Diarrheal Disease,24
55,40,Food Poisoning,38
56,68,Acute Diarrheal Disease,64
57,19,Acute Diarrheal Disease,18
58,54,Food Poisoning,12
59,67,Food Poisoning,135
60,67,Food Poisoning,18
61,62,Acute Diarrheal Disease,22
62,72,Acute Diarrheal Disease,22
63,69,Acute Diarrheal Disease,45
64,70,Cholera,16
65,25,Cholera,21
66,24,Acute Diarrheal Disease,13
67,29,Food Poisoning,42
68,27,Food Poisoning,44
69,20,Acute Diarrheal Disease,42
70,66,Acute Diarrheal Disease,25
71,55,Acute Diarrheal Disease,23
72,26,Acute Diarrheal Disease,51
73,61,Acute Diarrheal Disease,18
74,77,Chickenpox,10
75,85,Cholera,90
76,93,Acute Diarrheal Disease,19
77,92,Human Rabies,1
78,73,Measles,5
79,81,Cholera,78
80,90,Measles,4
81,89,Measles,5
82,74,Acute Diarrheal Disease,16
83,84,Shigellosis,29
84,79,Mushroom Poisoning,7
85,82,Mumps,115
86,94,Human Rabies,1
87,95,Measles,9
88,83,Human Rabies,2
89,78,Cholera,47
90,86,Measles,8
91,80,Measles,7
92,91,Measles,2
93,76,Chickenpox,17
94,75,Measles,10
95,88,Chickenpox,6
96,87,Measles,11
97,128,Hepatitis A,10
98,219,Food Poisoning,47
99,220,Acute Diarrheal Disease,6
100,221,Acute Hepatitis-A,8
101,222,Dengue,10
102,223,Food Poisoning,12
103,224,Food Poisoning,10
104,225,Cholera,92
105,227,Acute Diarrheal Disease,28
106,208,Human Rabies,1
107,187,Acute Encephalitic Syndrome,1
108,207,Human Rabies,1
109,105,Japanese Encephalitis,3
110,154,Chickenpox,6
111,98,Food Poisoning,9
112,99,Human Rabies,1
113,108,Acute Diarrheal Disease,13
114,137,Measles,14
115,138,Measles,17
116,118,Malaria,1
117,102,Typhoid,6
118,190,Chickenpox,10
119,183,Fever,14
120,162,Human Rabies,1
121,218,Human Rabies,1
122,205,Animal Bite - Dog Bite,1
123,191,Chickenpox,10
124,206,Fever,15
125,196,Japanese Encephalitis,7
126,242,Malaria,7
127,179,Human Rabies,1
128,244,Human Rabies,1
129,117,Chickenpox,8
130,140,Acute Diarrheal Disease,8
131,119,Acute Diarrheal Disease,12
132,120,Shigellosis,12
133,228,Malaria,24
134,139,Human Rabies,1
135,239,Acute Diarrheal Disease,4
136,238,Food Poisoning,76
137,252,Hepatitis A,15
138,248,Acute Diarrheal Disease,13
139,180,Acute Diarrheal Disease,35
140,136,Measles,15
141,134,Measles,9
142,113,Acute Diarrheal Disease,12
143,114,Food Poisoning,51
144,186,Fever,16
145,172,Acute Diarrheal Disease,14
146,147,Typhoid,5
147,143,Fever,30
148,149,Malaria,23
149,189,Acute Diarrheal Disease,13
150,101,Food Poisoning,35
151,121,Diphtheria,1
152,122,Food Poisoning,7
153,123,Fever with Rash,10
154,124,Chickenpox,8
155,110,Food Poisoning,10
156,126,Acute Diarrheal Disease,20
157,127,Food Poisoning,2
158,159,Measles,47
159,256,Chickenpox,6
160,161,Leptospirosis,1
161,113,Acute Diarrheal Disease,11
162,184,Human Rabies,1
163,131,Food Poisoning,17
164,161,Hepatitis A,28
165,135,Chickenpox,10
166,192,Dengue,6
167,260,Fever,14
168,261,Malaria,5
169,263,Food Poisoning,5
170,268,Mumps,7
171,251,Food Poisoning,5
172,125,Food Poisoning,10
173,130,Acute Gastroenteritis,30
174,255,Food Poisoning,120
175,182,Food Poisoning,164
176,159,Diphtheria,1
177,240,Fever with Rash,3
178,188,Food Poisoning,189
179,189,Food Poisoning,52
180,103,Acute Diarrheal Disease,153
181,155,Japanese Encephalitis,2
182,112,Human Rabies,1
183,193,Japanese Encephalitis,4
184,160,Hepatitis A,25
185,132,Japanese Encephalitis,1
186,217,Mushroom Poisoning,14
187,185,Animal Bite - Dog Bite,1
188,215,Chickenpox,21
189,175,Leptospirosis,20
190,176,Food Poisoning,5
191,269,Fever,20
192,106,Acute Diarrheal Disease,13
193,173,Human Rabies,1
194,174,Typhoid,4
195,177,Typhoid,6
196,142,Food Poisoning,66
197,243,Malaria,6
198,233,Chickenpox,75
199,237,Hepatitis A,11
200,141,Acute Diarrheal Disease,27
201,147,Japanese Encephalitis,3
202,148,Acute Diarrheal Disease,48
203,181,Acute Diarrheal Disease,21
204,171,Acute Diarrheal Disease,175
205,165,Acute Diarrheal Disease,11
206,201,Dengue,24
207,209,Acute Diarrheal Disease,15
208,109,Food Poisoning,6
209,145,Mumps,4
210,170,Acute Diarrheal Disease,8
211,168,Acute Diarrheal Disease,5
212,111,Chickenpox,56
213,129,Diphtheria,1
214,152,Hepatitis A,40
215,249,Acute Diarrheal Disease,27
216,262,Food Poisoning,93
217,253,Food Poisoning,93
218,229,Chickenpox,6
219,210,Malaria,333
220,212,Malaria,624
221,213,Food Poisoning,33
222,214,Japanese Encephalitis,1
223,211,Leptospirosis,4
224,144,Human Rabies,1
225,216,Dengue,6
226,226,Japanese Encephalitis,4
227,270,Food Poisoning,24
228,133,Food Poisoning,52
229,166,Food Poisoning,5
230,167,Japanese Encephalitis,1
231,169,Acute Diarrheal Disease,7
232,151,Cholera,94
233,202,Mumps,8
234,146,Human Rabies,1
235,150,Mushroom Poisoning,13
236,116,Fever with Rash,13
237,245,Measles,3
238,153,Human Rabies,1
239,247,Dengue,29
240,115,Food Poisoning,14
241,234,Chickenpox,8
242,236,Chickenpox,6
243,235,Cholera,12
244,153,Chickenpox,8
245,230,Acute Diarrheal Disease,86
246,203,Measles,11
247,254,Malaria,7
248,231,Acute Diarrheal Disease,14
249,232,Chickenpox,5
250,200,Acute Encephalitic Syndrome,1
251,199,Japanese Encephalitis,1
252,195,Dengue,1
253,194,Hepatitis A,9
254,164,Mushroom Poisoning,5
255,158,Dengue,27
256,163,Measles,11
257,250,Acute Encephalitic Syndrome,1
258,178,Acute Diarrheal Disease,15
259,149,Food Poisoning,18
260,271,Cholera,10
261,264,Cholera,10
262,265,Food Poisoning,19
263,156,Diphtheria,1
264,157,Dysentry,30
265,258,Measles,9
266,97,Acute Diarrheal Disease,38
267,241,Mushroom Poisoning,1
268,100,Chickenpox,5
269,104,Food Poisoning,136
270,266,Shigellosis,50
271,267,Dengue,56
272,259,Acute Diarrheal Disease,32
273,107,Food Poisoning (Mushroom Poisoning),1
274,96,Acute Diarrheal Disease,6
275,246,Dengue,28
276,295,Dengue,11
277,278,Fever with Rash,12
278,276,Measles,5
279,298,Acute Diarrheal Disease,82
280,297,Acute Diarrheal Disease,22
281,304,Fever with Rash,9
282,303,Measles,5
283,278,Fever with Rash,12
284,277,Acute Diarrheal Disease,65
285,288,Chickenpox,5
286,300,Measles & Rubella,11
287,343,Acute Diarrheal Disease,22
288,280,Fever with Rash,21
289,310,Food Poisoning,12
290,342,Acute Diarrheal Disease,15
291,314,Fever with Rash,11
292,315,Acute Diarrheal Disease,67
293,330,Typhoid,29
294,329,Acute Diarrheal Disease,18
295,325,Measles,9
296,348,Acute Diarrheal Disease,30
297,320,Food Poisoning,33
298,345,Acute Diarrheal Disease,13
299,347,Acute Diarrheal Disease,19
300,336,Food Poisoning,29
301,312,Acute Diarrheal Disease,24
302,305,Cholera,25
303,299,Fever with Rash,18
304,289,Fever with Rash,20
305,309,Acute Diarrheal Disease,15
306,282,Fever with Rash,6
307,287,Measles,4
308,286,Fever with Rash,9
309,285,Fever with Rash,18
310,281,Fever with Rash,13
311,290,Acute Diarrheal Disease,15
312,301,Acute Diarrheal Disease,45
313,302,Acute Diarrheal Disease,24
314,291,Chickenpox,5
315,292,Fever with Rash,8
316,293,Fever with Rash,11
317,294,Fever with Rash,8
318,306,Measles,6
319,307,Fever with Rash,13
320,272,Fever of Unknown Origin,10
321,274,Measles,9
322,283,Acute Diarrheal Disease,7
323,296,Chickenpox,13
324,279,Acute Diarrheal Disease,11
325,308,Food Poisoning,30
326,284,Fever with Rash,27
327,341,Fever with Rash,11
328,326,Acute Encephalitic Syndrome,4
329,339,Measles,16
330,327,Fever with Rash,9
331,328,Measles,11
332,333,Chickenpox,8
333,273,Acute Diarrheal Disease,14
334,335,Fever with Rash,14
335,316,Measles,11
336,313,Measles,32
337,319,Fever with Rash,29
338,350,Food Poisoning,6
339,311,Fever with Rash,7
340,321,Acute Diarrheal Disease,15
341,342,Typhoid,5
342,337,Measles,18
343,344,Chickenpox,11
344,334,Measles,17
345,318,Acute Diarrheal Disease,22
346,317,Acute Diarrheal Disease,11
347,348,Paratyphoid,65
348,332,Acute Diarrheal Disease,0
349,333,Fever with Rash,28
350,324,Measles,8
