id,state,city,created_at,user
1,Andaman & Nicobar Islands,South Andamans,2024-10-07 00:00:00,3
2,Andaman & Nicobar Islands,Nicobars,2024-06-08 00:00:00,3
3,Andhra Pradesh,Nandamuri Taraka Rama Rao (NTR),2023-12-30 00:00:00,3
4,Andhra Pradesh,Tirupati,2024-06-08 00:00:00,3
5,Andhra Pradesh,Vizianagaram,2024-10-03 00:00:00,3
6,Andhra Pradesh,Chittoor,2024-06-19 00:00:00,3
7,Andhra Pradesh,Kakinada,2024-06-18 00:00:00,3
8,Andhra Pradesh,Y.S.R.,2024-02-22 00:00:00,3
9,Andhra Pradesh,Palnadu,2024-10-24 00:00:00,3
10,Andhra Pradesh,Chittoor,2024-06-28 00:00:00,3
11,Andhra Pradesh,Chittoor,2024-06-24 00:00:00,3
12,Andhra Pradesh,Nandyal,2024-06-22 00:00:00,3
13,Andhra Pradesh,Vizianagaram,2024-10-29 00:00:00,3
14,Andhra Pradesh,Visakhapatanam,2024-11-11 00:00:00,3
15,Andhra Pradesh,Chittoor,2024-06-15 00:00:00,3
16,Andhra Pradesh,Srikakulam,2024-08-04 00:00:00,3
17,Andhra Pradesh,Anantapur,2024-06-26 00:00:00,3
18,Andhra Pradesh,Chittoor,2024-07-04 00:00:00,3
19,Andhra Pradesh,Kakinada,2024-07-03 00:00:00,3
20,Andhra Pradesh,Nandyal,2024-07-01 00:00:00,3
21,Andhra Pradesh,SPSR Nellore,2024-11-18 00:00:00,3
22,Andhra Pradesh,Tirupati,2024-11-19 00:00:00,3
23,Andhra Pradesh,Visakhapatanam,2024-11-22 00:00:00,3
24,Andhra Pradesh,Sri Sathya Sai,2024-12-17 00:00:00,3
25,Andhra Pradesh,Prakasam,2024-07-27 00:00:00,3
26,Andhra Pradesh,Krishna,2024-07-28 00:00:00,3
27,Andhra Pradesh,Chittoor,2024-07-29 00:00:00,3
28,Andhra Pradesh,Visakhapatanam,2024-11-26 00:00:00,3
29,Andhra Pradesh,Chittoor,2024-07-12 00:00:00,3
30,Andhra Pradesh,Chittoor,2024-08-06 00:00:00,3
31,Andhra Pradesh,Chittoor,2024-06-11 00:00:00,3
32,Andhra Pradesh,Bapatla,2024-06-15 00:00:00,3
33,Andhra Pradesh,Annamayya,2024-06-11 00:00:00,3
34,Andhra Pradesh,Tirupati,2024-05-05 00:00:00,3
35,Andhra Pradesh,Anantapur,2024-05-06 00:00:00,3
36,Andhra Pradesh,Sri Sathya Sai,2024-09-10 00:00:00,3
37,Andhra Pradesh,Nandyal,2024-04-29 00:00:00,3
38,Andhra Pradesh,Chittoor,2024-05-21 00:00:00,3
39,Andhra Pradesh,SPSR Nellore,2024-05-22 00:00:00,3
40,Andhra Pradesh,Chittoor,2024-07-22 00:00:00,3
41,Andhra Pradesh,Nandyal,2024-09-13 00:00:00,3
42,Andhra Pradesh,Visakhapatanam,2024-09-14 00:00:00,3
43,Andhra Pradesh,Nandyal,2024-09-02 00:00:00,3
44,Andhra Pradesh,Alluri Sitharama Raju,2024-08-30 00:00:00,3
45,Andhra Pradesh,Sri Sathya Sai,2024-04-13 00:00:00,3
46,Andhra Pradesh,Kurnool,2024-05-20 00:00:00,3
47,Andhra Pradesh,NTR,2024-05-27 00:00:00,3
48,Andhra Pradesh,Chittoor,2024-09-24 00:00:00,3
49,Andhra Pradesh,Vizianagaram,2024-09-23 00:00:00,3
50,Andhra Pradesh,Palnadu,2024-03-28 00:00:00,3
51,Andhra Pradesh,Nandyal,2024-10-04 00:00:00,3
52,Andhra Pradesh,Y. S. Rajasekhara Reddy,2024-10-03 00:00:00,3
53,Andhra Pradesh,Kakinada,2024-08-27 00:00:00,3
54,Andhra Pradesh,Tirupati,2024-03-25 00:00:00,3
55,Andhra Pradesh,Bapatla,2024-01-26 00:00:00,3
56,Andhra Pradesh,SPSR Nellore,2024-06-05 00:00:00,3
57,Andhra Pradesh,Sri Sathya Sai,2024-08-20 00:00:00,3
58,Andhra Pradesh,Chittoor,2024-08-21 00:00:00,3
59,Andhra Pradesh,Anakapalli,2024-08-19 00:00:00,3
60,Andhra Pradesh,Alluri Sitharama Raju,2024-06-10 00:00:00,3
61,Andhra Pradesh,Chittoor,2024-07-10 00:00:00,3
62,Andhra Pradesh,Nandyal,2024-07-09 00:00:00,3
63,Andhra Pradesh,Chittoor,2024-09-15 00:00:00,3
64,Andhra Pradesh,Alluri Sitharama Raju,,3
65,Andhra Pradesh,Y.S.R. (Yeduguri Sandinti Rajasekhara Reddy),,3
66,Andhra Pradesh,Anakapalli,2024-12-17 00:00:00,3
67,Andhra Pradesh,Tirupati,2024-07-15 00:00:00,3
68,Andhra Pradesh,Palnadu,2024-07-12 00:00:00,3
69,Andhra Pradesh,Krishna,2024-07-20 00:00:00,3
70,Andhra Pradesh,Prakasam,2024-07-24 00:00:00,3
71,Andhra Pradesh,Vizianagaram,2024-12-22 00:00:00,3
72,Andhra Pradesh,Visakhapatanam,2024-12-28 00:00:00,3
73,Arunachal Pradesh,Papum Pare,2024-05-22 00:00:00,3
74,Arunachal Pradesh,Leparada,2024-07-18 00:00:00,3
75,Arunachal Pradesh,Tawang,2024-07-29 00:00:00,3
76,Arunachal Pradesh,West Kameng,2024-11-26 00:00:00,3
77,Arunachal Pradesh,Tawang,2024-06-11 00:00:00,3
78,Arunachal Pradesh,Longding,2024-04-08 00:00:00,3
79,Arunachal Pradesh,Upper Subansiri,2024-02-27 00:00:00,3
80,Arunachal Pradesh,Upper Subansiri,2024-06-17 00:00:00,3
81,Arunachal Pradesh,Longding,2024-06-18 00:00:00,3
82,Arunachal Pradesh,Papumpare,2024-03-14 00:00:00,3
83,Arunachal Pradesh,East Kameng,2024-02-16 00:00:00,3
84,Arunachal Pradesh,Lohit,2024-07-18 00:00:00,3
85,Arunachal Pradesh,Longding,2024-07-08 00:00:00,3
86,Arunachal Pradesh,Tawang,2024-07-22 00:00:00,3
87,Arunachal Pradesh,East Kameng,2024-01-25 00:00:00,3
88,Arunachal Pradesh,West Siang,2024-11-30 00:00:00,3
89,Arunachal Pradesh,Papum Pare,2024-05-13 00:00:00,3
90,Arunachal Pradesh,Tawang,2024-05-18 00:00:00,3
91,Arunachal Pradesh,Namsai,2024-09-16 00:00:00,3
92,Arunachal Pradesh,East Kameng,2024-01-13 00:00:00,3
93,Arunachal Pradesh,Papum Pare,2024-08-21 00:00:00,3
94,Arunachal Pradesh,Papumpare,2024-03-04 00:00:00,3
95,Arunachal Pradesh,Longding,2024-04-11 00:00:00,3
96,Assam,Bongaigaon,2024-05-27 00:00:00,3
97,Assam,Kamrup,2024-05-29 00:00:00,3
98,Assam,Darrang,2024-02-26 00:00:00,3
99,Assam,Goalpara,2024-02-24 00:00:00,3
100,Assam,Dhemaji,2024-05-28 00:00:00,3
101,Assam,Darrang,2024-09-19 00:00:00,3
102,Assam,Dhemaji,2024-12-23 00:00:00,3
103,Assam,Jorhat,2024-09-27 00:00:00,3
104,Assam,Darrang,2024-05-28 00:00:00,3
105,Assam,Chirang,2024-07-19 00:00:00,3
106,Assam,Cachar,2024-12-20 00:00:00,3
107,Assam,Charaideo,2024-05-27 00:00:00,3
108,Assam,Jorhat,2024-02-28 00:00:00,3
109,Assam,Kokrajhar,2024-06-14 00:00:00,3
110,Assam,Karbi Anglong,2024-04-05 00:00:00,3
111,Assam,Kamrup Metro,2024-06-18 00:00:00,3
112,Assam,Udalguri,2024-04-16 00:00:00,3
113,Assam,Jorhat,2024-04-17 00:00:00,3
114,Assam,Biswanath,2024-04-16 00:00:00,3
115,Assam,Tinsukia,2024-05-18 00:00:00,3
116,Assam,Tinsukia,2024-05-17 00:00:00,3
117,Assam,Cachar,2024-09-06 00:00:00,3
118,Assam,Kokrajhar,2024-12-25 00:00:00,3
119,Assam,Jorhat,2024-10-18 00:00:00,3
120,Assam,Jorhat,2024-10-23 00:00:00,3
121,Assam,Tinsukia,2024-04-09 00:00:00,3
122,Assam,Tinsukia,2024-04-11 00:00:00,3
123,Assam,Nagaon,2024-04-10 00:00:00,3
124,Assam,Marigaon,2024-04-09 00:00:00,3
125,Assam,Marigaon,2024-10-11 00:00:00,3
126,Assam,Goalpara,2024-04-09 00:00:00,3
127,Assam,Dibrugarh,2024-04-09 00:00:00,3
128,Assam,Nagaon,2024-06-21 00:00:00,3
129,Assam,Dhubri,2024-06-19 00:00:00,3
130,Assam,Jorhat,2024-10-16 00:00:00,3
131,Assam,Udalguri,2024-03-06 00:00:00,3
132,Assam,Charaideo,2024-10-20 00:00:00,3
133,Assam,Majuli,2024-03-30 00:00:00,3
134,Assam,Kokrajhar,2024-03-27 00:00:00,3
135,Assam,Biswanath,2024-03-14 00:00:00,3
136,Assam,Dhubri,2024-03-16 00:00:00,3
137,Assam,Dibrugarh,2024-03-11 00:00:00,3
138,Assam,Goalpara,2024-03-11 00:00:00,3
139,Assam,Jorhat,2024-03-11 00:00:00,3
140,Assam,Sivasagar,2024-03-14 00:00:00,3
141,Assam,Karbi Anglong,2024-03-27 00:00:00,3
142,Assam,Kamrup,2024-03-28 00:00:00,3
143,Assam,Sonitpur,2024-07-18 00:00:00,3
144,Assam,Darrang,2024-03-28 00:00:00,3
145,Assam,Sonitpur,2024-01-11 00:00:00,3
146,Assam,Hojai,2024-01-12 00:00:00,3
147,Assam,Bongaigaon,2024-08-19 00:00:00,3
148,Assam,Dibrugarh,2024-08-20 00:00:00,3
149,Assam,Nagaon,2024-12-18 00:00:00,3
150,Assam,Biswanath,2024-06-05 00:00:00,3
151,Assam,Dibrugarh,2024-06-08 00:00:00,3
152,Assam,Goalpara,2024-03-21 00:00:00,3
153,Assam,Kamrup,2024-03-18 00:00:00,3
154,Assam,Lakhimpur,2024-03-19 00:00:00,3
155,Assam,Karbi Anglong,2024-07-19 00:00:00,3
156,Assam,Hojai,2024-08-31 00:00:00,3
157,Assam,Lakhimpur,2024-08-26 00:00:00,3
158,Assam,Lakhimpur,2024-10-01 00:00:00,3
159,Assam,Barpeta,2024-10-17 00:00:00,3
160,Assam,Biswanath,2024-03-02 00:00:00,3
161,Assam,Goalpara,2024-03-05 00:00:00,3
162,Assam,Udalguri,2024-02-22 00:00:00,3
163,Assam,Goalpara,2024-04-02 00:00:00,3
164,Assam,Charaideo,2024-04-04 00:00:00,3
165,Assam,Charaideo,2024-10-04 00:00:00,3
166,Assam,Sonitpur,2024-06-12 00:00:00,3
167,Assam,Nalbari,2024-06-13 00:00:00,3
168,Assam,Nalbari,2024-06-14 00:00:00,3
169,Assam,Kokrajhar,2024-06-08 00:00:00,3
170,Assam,Kokrajhar,2024-06-09 00:00:00,3
171,Assam,Jorhat,2024-10-04 00:00:00,3
172,Assam,Jorhat,2024-10-08 00:00:00,3
173,Assam,Dibrugarh,2024-12-16 00:00:00,3
174,Assam,Hailakandi,2024-12-20 00:00:00,3
175,Assam,Goalpara,2024-06-11 00:00:00,3
176,Assam,Darrang,2024-06-08 00:00:00,3
177,Assam,Hailakandi,2024-12-17 00:00:00,3
178,Assam,Kokrajhar,2024-12-20 00:00:00,3
179,Assam,Goalpara,2024-07-18 00:00:00,3
180,Assam,Goalpara,2024-07-17 00:00:00,3
181,Assam,Lakhimpur,2024-10-05 00:00:00,3
182,Assam,Golaghat,2024-10-20 00:00:00,3
183,Assam,Sonitpur,2024-01-22 00:00:00,3
184,Assam,Kokrajhar,2024-04-15 00:00:00,3
185,Assam,Bongaigaon,2024-02-21 00:00:00,3
186,Assam,Bajali,2024-07-04 00:00:00,3
187,Assam,Cachar,2024-05-03 00:00:00,3
188,Assam,Dhemaji,2024-09-08 00:00:00,3
189,Assam,Lakhimpur,2024-09-15 00:00:00,3
190,Assam,Goalpara,2024-02-22 00:00:00,3
191,Assam,Biswanath,2024-05-15 00:00:00,3
192,Assam,Nalbari,2024-07-28 00:00:00,3
193,Assam,Goalpara,2024-07-28 00:00:00,3
194,Assam,Dibrugarh,2024-05-13 00:00:00,3
195,Assam,Jorhat,2024-05-18 00:00:00,3
196,Assam,Bongaigaon,2024-08-04 00:00:00,3
197,Assam,Hailakandi,,3
198,Assam,Chirang,,3
199,Assam,Jorhat,2024-05-15 00:00:00,3
200,Assam,Kokrajhar,2024-05-15 00:00:00,3
201,Assam,Goalpara,2024-11-10 00:00:00,3
202,Assam,Charaideo,2024-11-12 00:00:00,3
203,Assam,Kokrajhar,2024-08-07 00:00:00,3
204,Assam,Barpeta,,3
205,Assam,Bongaigaon,2024-05-17 00:00:00,3
206,Assam,Bajali,2024-05-18 00:00:00,3
207,Assam,Jorhat,2024-07-01 00:00:00,3
208,Assam,Charaideo,2024-04-30 00:00:00,3
209,Assam,Dhemaji,2024-05-12 00:00:00,3
210,Assam,Kokrajhar,2024-11-16 00:00:00,3
211,Assam,Lakhimpur,2023-12-22 00:00:00,3
212,Assam,Kokrajhar,2024-01-23 00:00:00,3
213,Assam,Darrang,2024-11-17 00:00:00,3
214,Assam,Charaideo,2024-11-19 00:00:00,3
215,Assam,Dhubri,2024-05-17 00:00:00,3
216,Assam,Nalbari,2024-07-22 00:00:00,3
217,Assam,Charaideo,2024-05-14 00:00:00,3
218,Assam,Charaideo,2024-05-16 00:00:00,3
219,Assam,Nagaon,2024-05-04 00:00:00,3
220,Assam,Marigaon,2024-05-03 00:00:00,3
221,Assam,Lakhimpur,2024-04-29 00:00:00,3
222,Assam,Lakhimpur,2024-05-04 00:00:00,3
223,Assam,Golaghat,2024-05-02 00:00:00,3
224,Assam,Golaghat,2024-05-05 00:00:00,3
225,Assam,Dibrugarh,2024-04-29 00:00:00,3
226,Assam,Goalpara,2024-07-20 00:00:00,3
